,Rank,GD_CEO,GD_Approval,GD_company
0,1,>Pat Gelsinger<,> 99% Approval<,['>VMware<']
1,2,>Charles C. Butt<,> 99% Approval<,['>H E B<']
2,3,>Lynsi Snyder<,> 99% Approval<,['>In-N-Out Burger<']
3,4,>John Legere<,> 99% Approval<,['>T-Mobile<']
4,5,>Shantanu Narayen<,> 98% Approval<,['>Adobe<']
5,6,>Satya Nadella<,> 98% Approval<,['>Microsoft<']
6,7,>Kevin Sneader<,> 98% Approval<,['>McKinsey &amp; Company<']
7,8,>Jeff Weiner<,> 97% Approval<,['>LinkedIn<']
8,9,>Gary S. Guthart <,> 97% Approval<,['>Intuitive Surgical<']
9,10,>Hubert Joly<,> 97% Approval<,['>Best Buy<']
10,11,>Esfand Dinshaw<,> 97% Approval<,['>Sammons Financial Group<']
11,12,>Manny Maceda<,> 97% Approval<,['>Bain &amp; Company<']
12,13,>Kevin A. Lobo<,> 97% Approval<,['>Stryker<']
13,14,>Matt Scantland<,> 97% Approval<,['>CoverMyMeds<']
14,15,>Cathy Engelbert<,> 97% Approval<,['>Deloitte<']
15,16,>Brian Halligan<,> 96% Approval<,['>HubSpot<']
16,17,>Marc Benioff and Keith Block<,> 96% Approval<,['>Salesforce<']
17,18,>Jen-Hsun Huang<,> 96% Approval<,['>NVIDIA<']
18,19,>Randy Richardson <,> 96% Approval<,['>Vi<']
19,20,>Erhardt Preitauer<,> 96% Approval<,['>CareSource<']
20,21,>John F. Bergstrom<,> 96% Approval<,['>Bergstrom Automotive<']
21,22,>Aneel Bhusri<,> 96% Approval<,['>Workday<']
22,23,>Scott Davis<,> 96% Approval<,['>FLIK Hospitality Group<']
23,24,>Brad Jackson<,> 96% Approval<,['>Slalom<']
24,25,>Corey Schiller &amp; Asher Raphael<,> 96% Approval<,['>Power Home Remodeling<']
25,26,>Chad England<,> 95% Approval<,['>CR England<']
26,27,>Daniel Springer<,> 95% Approval<,['>DocuSign<']
27,28,>Todd Graves<,> 95% Approval<,"["">Raising Cane's<""]"
28,29,>Steven C. Bilt<,> 95% Approval<,['>Smile Brands<']
29,30,>Aron J. Ain<,> 95% Approval<,['>Kronos Incorporated<']
30,31,>Bill McDermott <,> 95% Approval<,['>SAP<']
31,32,>Tom Linebarger<,> 95% Approval<,['>Cummins<']
32,33,>Anant Yardi<,> 95% Approval<,['>Yardi Systems<']
33,34,>Dan Schulman<,> 95% Approval<,['>PayPal<']
34,35,>Gary C. Kelly<,> 95% Approval<,['>Southwest Airlines<']
35,36,>Jamie Dimon<,> 95% Approval<,['>J.P. Morgan<']
36,37,>Jonas Prising<,> 95% Approval<,['>Manpower<']
37,38,>Scott Scherr<,> 95% Approval<,['>Ultimate Software<']
38,39,>Robert E. Sulentic<,> 95% Approval<,['>CBRE<']
39,40,>Chuck Robbins<,> 95% Approval<,['>Cisco Systems<']
40,41,>David Wadhwani<,> 95% Approval<,['>AppDynamics<']
41,42,>Craig Jelinek<,> 95% Approval<,['>Costco Wholesale<']
42,43,>Tim Yaggi<,> 95% Approval<,['>Pella<']
43,44,>Michael J. Dowling<,> 95% Approval<,['>Northwell Health<']
44,45,>Mike Roman<,> 95% Approval<,['>3M<']
45,46,>Sundar Pichai<,> 94% Approval<,['>Google<']
46,47,> Peter Pisters<,> 94% Approval<,['>MD Anderson Cancer Center<']
47,48,>Mark Weinberger<,> 94% Approval<,['>EY<']
48,49,>Bob Quattrocchi<,> 94% Approval<,['>Northside Hospital<']
49,50,>Akio Toyoda<,> 94% Approval<,['>Toyota North America<']
50,51,>Joe Gallo<,> 94% Approval<,['>E. &amp; J. Gallo Winery<']
51,52,>Colleen Wegman<,> 94% Approval<,['>Wegmans Food Markets<']
52,53,>Pamela M. Nicholson<,> 94% Approval<,['>Enterprise<']
53,54,>Jean-Pascal Tricoire<,> 94% Approval<,['>Schneider Electric<']
54,55,>Mark Zuckerberg<,> 94% Approval<,['>Facebook<']
55,56,>Sajan Pillai<,> 94% Approval<,['>UST Global<']
56,57,>Joe Margolis<,> 94% Approval<,['>Extra Space Storage<']
57,58,>Peter Strebel<,> 94% Approval<,['>Omni Hotels<']
58,59,>Mark S. Hoplamazian<,> 93% Approval<,['>Hyatt<']
59,60,>Randy Bufford<,> 93% Approval<,['>Trilogy Health Services<']
60,61,>Tricia Griffith<,> 93% Approval<,['>Progressive Insurance<']
61,62,>Stephen B. Burke<,> 93% Approval<,['>NBCUniversal<']
62,63,> Robert Reffkin <,> 93% Approval<,['>Compass<']
63,64,>Thomas Buberl<,> 93% Approval<,['>AXA Advisors<']
64,65,>Francis deSouza <,> 93% Approval<,['>Illumina<']
65,66,>Chad Richison<,> 93% Approval<,['>Paycom<']
66,67,>James P. Gorman<,> 92% Approval<,['>Morgan Stanley<']
67,68,>Alex Gorsky<,> 92% Approval<,['>Johnson &amp; Johnson<']
68,69,>Tim Cook<,> 92% Approval<,['>Apple<']
69,70,>Dan T. Cathy<,> 92% Approval<,['>Chick-fil-A<']
70,71,>Michael R. Bloomberg<,> 92% Approval<,['>Bloomberg L.P.<']
71,72,>Lynne Doughtie<,> 92% Approval<,['>KPMG<']
72,73,>Steve Hockett<,> 92% Approval<,['>Great Clips<']
73,74,>Robert I. Grossman<,> 92% Approval<,['>NYU Langone Health<']
74,75,>Bob Faith<,> 92% Approval<,['>Greystar<']
75,76,>Tim Pierce<,> 92% Approval<,['>Morrison Healthcare<']
76,77,>Steve Beauchamp<,> 92% Approval<,['>Paylocity<']
77,78,>Bobby Kutteh<,> 92% Approval<,['>Crothall Healthcare<']
78,79,>Christopher Nassetta<,> 92% Approval<,['>Hilton<']
79,80,>Alan D. Schnitzer<,> 92% Approval<,['>Travelers<']
80,81,>Michael Zuieback<,> 92% Approval<,['>Discount Tire<']
81,82,>David Overton<,> 91% Approval<,['>The Cheesecake Factory<']
82,83,>Walt Bettinger II<,> 91% Approval<,['>Charles Schwab<']
83,84,>Michael Hansen<,> 91% Approval<,['>Cengage<']
84,85,>Martin Mucci<,> 91% Approval<,['>Paychex<']
85,86,>Jim Kavanaugh<,> 91% Approval<,['>World Wide Technology<']
86,87,>Kenneth C. Frazier<,> 91% Approval<,['>Merck<']
87,88,>John P. Wiehoff<,> 91% Approval<,['>C.H. Robinson<']
88,89,>John E. Schlifske<,> 91% Approval<,['>Northwestern Mutual<']
89,90,">Alfred F. Kelly, Jr.<",> 91% Approval<,['>Visa Inc.<']
90,91,">Steven J. Corwin, MD<",> 91% Approval<,['>NewYork-Presbyterian Hospital<']
91,92,>Ken Burdick<,> 91% Approval<,['>WellCare<']
92,93,>Dan Bane<,> 91% Approval<,"["">Trader Joe's<""]"
93,94,>Mark G. Parker<,> 91% Approval<,['>NIKE<']
94,95,>Pat Bauer<,> 90% Approval<,['>Heartland Dental<']
95,96,>David Cordani<,> 90% Approval<,['>Cigna<']
96,97,>Steve Barick<,> 90% Approval<,['>Highgate Hotels<']
97,98,>Stephen J Squeri<,> 90% Approval<,['>American Express<']
98,99,>David Baiada<,> 90% Approval<,['>BAYADA Home Health Care<']
99,100,>Cindy Mi<,> 90% Approval<,['>VIPKid<']
